time,Vaartsche-Rijn-B,Vaartsche-Rijn-A,Galgenwaard-A,UMC-A,UMC-B,Heidelberglaan-A,Heidelberglaan-B,Galgenwaard-B,Kromme-Rijn-A,Kromme-Rijn-B,Padualaan-A,Padualaan-B,WKZ-A,WKZ-B
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0.9772382398,0
06:15,0,0.06995837363,0,0.8253968254,0,0.06975308642,0,0.06066108283,0.1968128342,0,0.03333333333,0,0.9772382398,0
06:30,0.04166666667,0.002631578947,0.01754385965,0.9291190917,0,0.2722617458,0,0.1242980386,0.03879996947,0,0.08472088293,0,0.9772382398,0
06:45,0,0.01247624371,0.06039253539,0.8612370078,0,0.396346263,0.04545454545,0.2983957556,0.1277597959,0,0.07020415756,0,0.9772382398,0
07:00,0.007381507382,0.009093517896,0.03708333333,0.846580042,0,0.2837235899,0.05263157895,0.28229122,0.06407591678,0,0.1248115753,0,0.9772382398,0
07:15,0.002976190476,0.005943755233,0.06037698413,0.8666523147,0,0.4642857019,0.03571428571,0.2203948598,0.06334742766,0.007369614512,0.08823943217,0,0.9772382398,0
07:30,0.01525297619,0.009632885212,0.1626741781,0.7749321318,0.04054054054,0.5449335775,0,0.1657059487,0.04079889706,0.01666666667,0.1580748749,0,0.9772382398,0
07:45,0.009311553015,0.01076364421,0.118857039,0.8142000107,0,0.5836214261,0,0.1625432382,0.05446380127,0.01063892705,0.2655456618,0.002645502646,0.9772382398,0
08:00,0.06371336693,0.01236495192,0.1845628937,0.7829764738,0.01754385965,0.6430382172,0,0.189015639,0.02480380298,0.02391260834,0.3390024474,0.00328407225,0.9772382398,0
08:15,0.07207097241,0.01112675388,0.2563306679,0.7758266948,0.0425170068,0.7025634962,0.01201923077,0.1474875938,0.02613098058,0.0426521813,0.3603919584,0,0.9772382398,0
08:30,0.07710933993,0.007376599007,0.2878150925,0.6624728152,0,0.7324898981,0.02314814815,0.07611306922,0.03197837087,0.07517304976,0.3952731627,0.005765199161,0.9772382398,0
08:45,0.1014384666,0.03346269464,0.2379201821,0.7588646198,0.03448275862,0.7492984604,0.004273504274,0.06902828643,0.03719307196,0.1165627831,0.4208715959,0.005387205387,0.9772382398,0
09:00,0.03992453783,0.02122787838,0.1539728398,0.7981973094,0.1034482759,0.7601165611,0.05507246377,0.09893592572,0.02156645255,0.06378331516,0.489066698,0.003571428571,0.9772382398,0
09:15,0.03906956521,0.02203023845,0.2023880663,0.7288575156,0.03448275862,0.7592112185,0.03157894737,0.08503546261,0.02163454949,0.05328560329,0.478321264,0.006289308176,0.9772382398,0
09:30,0.04148831327,0.01780250658,0.1298110917,0.8086396999,0.01149425287,0.7818842944,0.009259259259,0.1094634769,0.02587666145,0.01401022589,0.4037911899,0.01981721982,0.9772382398,0
09:45,0.04531875781,0.01440555051,0.1364462765,0.7625866836,0,0.7662986931,0.0608974359,0.1158142731,0.03929547201,0.03345179739,0.473926088,0.00733044733,0.9772382398,0
10:00,0.04675700811,0.0275605227,0.07776672691,0.7851968344,0.04761904762,0.7850317919,0.04365079365,0.1205568405,0.0338819035,0.03262531378,0.46700134,0.005636604775,0.9772382398,0
10:15,0.02387162862,0.008046271731,0.1039651953,0.7701905393,0.01851851852,0.7967100429,0.01781678773,0.03354465063,0.04276712748,0.02313926983,0.4203561517,0.02290217162,0.9772382398,0
10:30,0.03215673344,0.01691249394,0.07548346463,0.8623031308,0.03676470588,0.8294228068,0.05532039976,0.03053713894,0.06736847223,0.02983303197,0.3705367012,0.01774428855,0.9772382398,0
10:45,0.03415638318,0.01593991177,0.05737671045,0.6911151702,0.03448275862,0.8212442198,0.03833073522,0.03965018742,0.04530920804,0.01574701484,0.4153091742,0.003825810344,0.9772382398,0
11:00,0.02372450464,0.03394323901,0.0359878671,0.7259991497,0.05263157895,0.8661891475,0.01059994619,0.05688615224,0.02434485091,0.007387232217,0.442143332,0.006255083459,0.9772382398,0
11:15,0.01696558032,0.0323855962,0.03659615641,0.827074631,0.03125,0.8561258461,0.00768930523,0.04678006451,0.01995787677,0.002694871848,0.4807900363,0.006293477764,0.9772382398,0
11:30,0.02516821227,0.02564290582,0.05576229603,0.7856664889,0.01515151515,0.8276089916,0.03639162562,0.04638862522,0.02548953545,0.005223702854,0.5038045208,0.00436055019,0.9772382398,0
11:45,0.04304413776,0.03543555634,0.03504443151,0.7914645103,0,0.8383892333,0.024543379,0.05433108368,0.02495219902,0.009280358988,0.4987634273,0.004624491324,0.9772382398,0
12:00,0.03139994007,0.023048984,0.04336337846,0.6846743295,0,0.8856664275,0.05863748321,0.08455697017,0.02753557556,0.01336386094,0.4335700774,0.004109470073,0.9772382398,0
12:15,0.03944173507,0.02808410982,0.03201226581,0.8062367725,0.06666666667,0.835805366,0.03360314549,0.08135785341,0.0506546362,0.01007003007,0.4585458854,0.003408025044,0.9772382398,0
12:30,0.04326237166,0.05514214164,0.04485439397,0.7798263667,0.0925,0.8629538291,0.02518978606,0.04049989192,0.06491450274,0.01028667112,0.4313973554,0.004210688604,0.9772382398,0
12:45,0.02585526489,0.03815962386,0.05272783012,0.8361480625,0.01351351351,0.8404363563,0.04361467236,0.0475330762,0.07273213512,0.04502147793,0.4120926818,0.008286302305,0.9772382398,0
13:00,0.03042847615,0.03755370948,0.04639111922,0.7662108293,0.04761904762,0.8576973373,0.02659722222,0.04091867049,0.04627495221,0.02240628498,0.3896592425,0.007299660784,0.9772382398,0
13:15,0.02832095137,0.06398873626,0.03790969758,0.8383485958,0.01470588235,0.8118162633,0.01839708561,0.05193122395,0.04295967492,0.01045044157,0.4111464841,0.008232168456,0.9772382398,0
13:30,0.02085447612,0.05602317829,0.0356298215,0.7605886243,0.003759398496,0.8121642203,0.0184811828,0.04900667598,0.06030506189,0.01273884777,0.3946356283,0.006509310263,0.9772382398,0
13:45,0.01832544699,0.04800056793,0.05413795075,0.7579365079,0.03225806452,0.7927882617,0.02952380952,0.07063087841,0.02760368068,0.008256443916,0.4587716232,0.005525326819,0.9772382398,0
14:00,0.01821810827,0.06984145771,0.04062594794,0.5739338676,0.01754385965,0.7487467538,0.0275,0.05040242632,0.0334900453,0.006458842768,0.3895638371,0.00110183829,0.9772382398,0
14:15,0.0147630907,0.05116088815,0.0450846493,0.6889770723,0.02258064516,0.807917963,0.02705272869,0.05720464966,0.03870276299,0.02051055051,0.3689198544,0.004388062263,0.9772382398,0
14:30,0.02002239591,0.03929119268,0.03712495163,0.6436153301,0.02631578947,0.7961087717,0.006626963704,0.04141315394,0.08679570207,0.01040380199,0.3397648812,0.008736696353,0.9772382398,0
14:45,0.03105956029,0.05164936119,0.02804401693,0.6641325536,0.01315789474,0.7896342158,0.0261713411,0.04677796365,0.07735205072,0.01406099696,0.355435515,0.01015350781,0.9772382398,0
15:00,0.02401157658,0.06381470045,0.02008610782,0.7886897824,0.03846153846,0.820330766,0.02002553314,0.0680622631,0.05993820703,0.02226883665,0.3479185122,0.001535943125,0.9772382398,0
15:15,0.02265551034,0.1117557212,0.01977764462,0.6808924019,0.000946969697,0.731152646,0.01966631671,0.08581979105,0.0452454814,0.005131831478,0.3945910706,0.0203923729,0.9772382398,0
15:30,0.02010313452,0.08765100796,0.03278209986,0.7089506173,0.06078431373,0.7298054213,0.01960584234,0.09213443229,0.06807998556,0.00554131956,0.3292904679,0.004886327208,0.9772382398,0
15:45,0.01870534816,0.09967407806,0.01856299877,0.6501457726,0.0125,0.7001036794,0.01385862466,0.1229643859,0.05629051643,0.006819645535,0.3879240197,0.008140094823,0.9772382398,0
16:00,0.01696849742,0.112111152,0.02204155203,0.6516339869,0.02994599902,0.6895545984,0.01229871333,0.1502573413,0.04008691104,0.005530281003,0.3840802703,0.003366192872,0.9772382398,0
16:15,0.01857299736,0.1069473253,0.02175613913,0.6278887779,0.01646423752,0.6568264582,0.01671094443,0.1673398546,0.06080013187,0.006782899522,0.3275790383,0.003415531154,0.9772382398,0
16:30,0.01729473586,0.1011252924,0.01813825943,0.6200892857,0.000198019802,0.7506879134,0.007858214071,0.1277517241,0.09604661286,0.008066615358,0.3421152876,0.009326833054,0.9772382398,0
16:45,0.02112100919,0.0927986557,0.02110826845,0.647922999,0.03551912568,0.7680229813,0.0166625225,0.1547798956,0.08993181556,0.005191331991,0.3185987485,0.0008446341171,0.9772382398,0
17:00,0.02499873626,0.1041338238,0.01591124522,0.6225970018,0.01991321119,0.6879929983,0.006643609659,0.1684323888,0.1363470987,0.004133955592,0.2682082905,0.002808388988,0.9772382398,0
17:15,0.02698248459,0.1221346975,0.02124529963,0.4596955128,0.01488095238,0.7670638048,0.004173772356,0.2065764464,0.1434021027,0.003181511569,0.2634848426,0.002207235064,0.9772382398,0
17:30,0.02320387582,0.1184723506,0.02312091058,0.5006868132,0.01994609164,0.7182118642,0.06345238095,0.1105566681,0.1055843903,0.0078297774,0.2218323644,0.005796112959,0.9772382398,0
17:45,0.02855175931,0.1590503513,0.0263409116,0.4450680272,0.04411764706,0.7878192284,0.008506940214,0.1986385699,0.0930597326,0.006980212638,0.2366077715,0.004082205387,0.9772382398,0
18:00,0.02510096008,0.1127239782,0.02126483344,0.5488095238,0.01388888889,0.7871215284,0.003667091837,0.1862111538,0.09736851747,0.005464109119,0.2011919144,0.0297261807,0.9772382398,0
18:15,0.02931976296,0.1027142491,0.02371471633,0.6385964912,0.05263157895,0.8734268796,0.02083333333,0.1457516492,0.1639239474,0.005415571203,0.1771806141,0.001135143052,0.9772382398,0
18:30,0.03023004466,0.0930758236,0.03189817035,0.6574074074,0,0.810201951,0.002380952381,0.1329287887,0.1070038543,0.009802315641,0.2251375127,0.005841638981,0.9772382398,0
18:45,0.04164469304,0.1838878941,0.03188963924,0.6653846154,0,0.8411270093,0.005952380952,0.2530738439,0.1517092827,0.01188508762,0.1533197323,0.0005263157895,0.9772382398,0
19:00,0.04592169308,0.1528103377,0.0398591978,0.7640692641,0.05882352941,0.88837983,0.007142857143,0.2057623733,0.0931072339,0.006498197237,0.2262618334,0.0008125577101,0.9772382398,0
19:15,0.04230703033,0.1924821206,0.02582685036,0.7222222222,0,0.8830947984,0.005952380952,0.2065146408,0.1574286824,0.007816764133,0.1358452658,0.01207010582,0.9772382398,0
19:30,0.03139470044,0.1113508443,0.03744731592,0.5242424242,0,0.8097542889,0,0.2020746496,0.1459659621,0.007815781718,0.112350304,0.008333333333,0.9772382398,0
19:45,0.03751065706,0.1525953647,0.03239788493,0.7727272727,0,0.8660409035,0.003968253968,0.2248704721,0.1813104591,0.004329004329,0.1506556811,0,0.9772382398,0
20:00,0.0465198596,0.1159242761,0.0381805147,0.5,0,0.8806561086,0,0.1765793417,0.08797619048,0.003851091142,0.09666666667,0,0.9772382398,0
20:15,0.04542822287,0.1747791381,0.03576843722,0.2708333333,0.1111111111,0.911019536,0,0.3339484127,0.1904761905,0.006059265812,0.1546849447,0.005050505051,0.9772382398,0
20:30,0.03690648422,0.1130071683,0.04350578852,0.7857142857,0,0.8859307359,0,0.1795695046,0.1061588103,0.0114527027,0.09610088985,0.004273504274,0.9772382398,0
20:45,0.03390248838,0.1409555028,0.0298753791,0.5714285714,0,0.9248677249,0,0.1658936302,0.1114976294,0.01482174688,0.1593176665,0.01375598086,0.9772382398,0
21:00,0.01252599454,0.1014413364,0.03826338836,0.5555555556,0,0.9485449735,0.007575757576,0.2213415751,0.1483730159,0,0.08245614035,0,0.9772382398,0
21:15,0.03460355598,0,0.03379696706,0.7,0.125,0.8148148148,0,0,0,0.008970389775,0.0625,0.009882478632,0.9772382398,0
21:30,0.02819493216,0,0.02612635336,0,0,0,0,0,0,0,0,0.004166666667,0.9772382398,0